11;interficio;";";interficio, -is, -feci, -fectum, -fìcere;||;uccidere;;sì;30;30
12;contingo;";";contingo, -is, -tigi, -tactum, -ere;||;capitare;;sì;30;30
13;constituo;";";constituo, -is, -ui, -tutum, -ere;||;stabilire;;sì;30;30
14;accedo;";";accedo, -is, -cessi, -cessum, -ere;||;avvicinarsi;;sì;30;30
;;;;;;;;;
;;;;;;;;;
1;cupio;";";cupio, -is, -ivi, -itum, -ere;||;desiderare;;sì;30;30
2;"exerceo (oltre a ""esercitare"")";";";exerceo, -es, -ercui, -ercitum, -ere ;||;affaticare;;sì;30;30
3;appello;";";appello, -as, -avi, -atum, -are;||;chiamare;;sì;30;30
4;claudo;";";claudo, -is, clausi, clausum, -ere;||;"chiudere (ma con il paradigma ""claudo, -is, -ere"" vuol dire anche ""zoppicare"")";;sì;30;30
5;iuvo;";";iuvo, -as, iuvi, iutum, -are;||;aiutare;;sì;30;30
6;prohibeo;";";prohibeo, -es, -bui, -itum, -ere;||;impedire;;sì;30;30
7;tego;";";tego, -is, texi, tectum, -ere;||;coprire;;sì;30;30
8;frango;";";frango, -is, fregi, fractum, -ere;||;rompere;;sì;30;30
9;lego;";";lego, -is, legi, lectum, -ere;||;raccogliere, scegliere, leggere;;sì;30;30
10;erro;";";erro, -as, -avi, -atum, -are;||;vagabondare;;sì;30;30
11;exeo;";";exeo, -is, -i(v)i, -itum, -ire;||;uscire;;sì;30;30
12;contemno;";";contemno, -is, contempsi, contemptum, -ere;||;disprezzare;;sì;30;30
13;nescio;";";nescio, -is, -i(v)i, -itum, -ire;||;non sapere;;sì;30;30
14;retineo;";";retineo, -es, -tinui, -tentum, -ere;||;trattenere;;sì;30;30
;;;;;;;;;
;;;;;;;;;
;qui, quae, quod;;qui, quae, quod / cuius, cuius, cuius / cui, cui, cui /quem, quam, quod / quo, qua, quo // qui, quae, quae / quorum, quarum, quorum / quibus, quibus, quibus / quos, quas, quae / quibus, quibus, quibus;";";che, il quale;;sì;30;30
;;;;;;;;;
;;;;;;;;;
1;adeo (verbo);";";adeo, -is, -i(v)i, -itum, -ire;||;accostarsi;;sì;30;30
2;desino;";";desino, -is, -i(v)i, -itum, -ere;||;lasciare, finire, smettere;;sì;30;30
3;augeo;";";augeo, -es, auxi, auctum, -ere;||;accrescere;;sì;30;30
4;intersum;";";intersum, interes, interfui, interesse;||;prendere parte;;sì;30;30
5;aspicio;";";aspicio, -is, -spexi, -spectum, -ere;||;scorgere;;sì;30;30
6;parco;";";parco, -is, peperci/parsi, parcitum/parsum, -ere;||;risparmiare (regge dativo, accusativo o ablativo);;sì;30;30
7;confero;";";confero, -fers, -tuli, -latum, -ferre;||;riunire;;sì;30;30
8;convenio;";";convenio, -is, -veni, -ventum, -ire;||;incontrarsi;;sì;30;30
9;"concedo (oltre a ""concedere"")";";";concedo, -is, -cessi, -cessum, -ere ;||;ritirarsi;;sì;30;30
10;valeo;";";valeo, -es, -ui, -itum -ere;||;star bene;;sì;30;30
11;fallo;";";fallo, -is, fefelli, falsum, -ere;||;ingannare;;sì;30;30
